Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
143,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-180,2004,5.5,2,1,0,10,15,3,23,1,15,0,0,0,24,10,4,71.4,Matches
144,Alfie Dorrington,eng ENG,DF,Tottenham,20-004,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
145,Abdoulaye Doucouré,ml MLI,MF,Everton,32-113,1993,25.9,5,1,1,46,5,9,22,9,25,0,0,0,134,29,40,42.0,Matches
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-106,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0,Matches
147,Flynn Downes,eng ENG,MF,Southampton,26-094,1999,18.9,10,0,0,44,31,0,3,30,22,0,0,0,69,11,12,47.8,Matches
148,Tommy Doyle,eng ENG,MF,Wolves,23-189,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,Matches
149,Radu Drăgușin,ro ROU,DF,Tottenham,23-080,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,Matches
150,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-099,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
151,Lewis Dunk,eng ENG,DF,Brighton,33-154,1991,21.1,5,0,0,7,8,2,4,12,9,0,0,1,99,47,28,62.7,Matches
152,Jáder Durán,co COL,FW,Aston Villa,21-132,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0,Matches
153,Ederson,br BRA,GK,Manchester City,31-250,1993,21.8,3,0,0,1,0,0,0,1,0,0,1,0,37,4,1,80.0,Matches
154,George Edmundson,eng ENG,DF,Ipswich Town,27-236,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
155,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-098,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,Matches
156,Odsonne Édouard,fr FRA,FW,Leicester City,27-098,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
157,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-086,2003,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches
158,Ronnie Edwards,eng ENG,DF,Southampton,22-027,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
159,Anthony Elanga,se SWE,FW,Nott'ham Forest,22-362,2002,22.8,1,0,0,7,32,13,142,5,12,0,0,0,79,22,33,40.0,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-020,2003,2.0,0,0,0,0,0,1,10,1,2,0,0,0,10,1,1,50.0,Matches
161,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-104,2006,0.4,0,0,0,3,1,0,0,0,4,0,0,0,2,4,4,50.0,Matches
162,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-091,2004,6.1,3,0,0,5,11,0,8,1,7,0,0,0,32,6,14,30.0,Matches
163,Julio Enciso,py PAR,"MF,FW",Brighton,21-091,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5,Matches
164,Wataru Endo,jp JPN,MF,Liverpool,32-074,1993,1.7,0,0,0,12,6,0,0,3,6,0,0,0,7,1,3,25.0,Matches
165,Christian Eriksen,dk DEN,MF,Manchester Utd,33-069,1992,11.0,4,0,0,8,3,0,74,7,9,0,0,0,59,2,5,28.6,Matches
166,Romain Esse,eng ENG,MF,Crystal Palace,19-346,2005,0.4,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,100.0,Matches
167,Pervis Estupiñán,ec ECU,DF,Brighton,27-093,1998,22.7,5,0,0,32,16,3,103,30,34,0,0,0,128,39,25,60.9,Matches
168,Evanilson,br BRA,FW,Bournemouth,25-200,1999,21.1,0,0,0,28,40,16,0,0,9,5,0,0,55,38,55,40.9,Matches
169,Jake Evans,,FW,Leicester City,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
170,Jonny Evans,nir NIR,DF,Manchester Utd,37-111,1988,3.2,1,0,0,5,6,0,0,4,5,0,0,0,15,8,3,72.7,Matches
171,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-299,1998,26.0,1,0,0,11,46,9,100,11,22,0,0,0,128,6,36,14.3,Matches
172,Łukasz Fabiański,pl POL,GK,West Ham,40-006,1985,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7,Matches
173,Wout Faes,be BEL,DF,Leicester City,27-021,1998,26.3,3,0,0,20,9,1,5,26,23,0,0,0,80,40,31,56.3,Matches
174,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-047,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches
175,João Félix,pt POR,"FW,MF",Chelsea,25-165,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
176,Evan Ferguson,ie IRL,FW,West Ham,20-187,2004,1.6,0,0,0,1,2,0,0,1,0,0,0,0,8,5,8,38.5,Matches
177,Evan Ferguson,ie IRL,FW,Brighton,20-187,2004,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8,Matches
178,Bruno Fernandes,pt POR,MF,Manchester Utd,30-228,1994,29.6,4,2,1,26,37,2,164,25,44,0,0,0,187,20,27,42.6,Matches
179,Mateus Fernandes,pt POR,MF,Southampton,20-288,2004,27.8,8,0,0,40,48,3,102,19,43,0,0,0,155,13,9,59.1,Matches
180,Enzo Fernández,ar ARG,MF,Chelsea,24-097,2001,27.8,7,0,0,45,44,1,100,11,29,0,0,0,134,13,27,32.5,Matches
181,Mark Flekken,nl NED,GK,Brentford,31-315,1993,31.4,1,0,0,0,3,0,0,0,4,0,0,0,35,4,0,100.0,Matches
182,Phil Foden,eng ENG,"MF,FW",Manchester City,24-331,2000,18.7,2,0,0,5,31,3,73,9,5,0,0,0,58,3,8,27.3,Matches
183,Wesley Fofana,fr FRA,DF,Chelsea,24-128,2000,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2,Matches
184,Carlos Forbs,pt POR,"MF,FW",Wolves,21-036,2004,2.6,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0,Matches
185,Fraser Forster,eng ENG,GK,Tottenham,37-038,1988,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
186,Matheus França,br BRA,"FW,MF",Crystal Palace,21-023,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
187,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-059,1994,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,Matches
188,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-060,2005,1.0,0,0,0,0,2,0,0,1,2,0,0,0,6,5,2,71.4,Matches
189,Niclas Füllkrug,de GER,FW,West Ham,32-074,1993,6.0,2,0,0,14,4,5,1,0,2,0,0,0,9,25,35,41.7,Matches
190,Cody Gakpo,nl NED,FW,Liverpool,25-352,1999,17.3,4,0,0,16,20,5,61,9,12,1,0,0,58,15,21,41.7,Matches
191,Idrissa Gana Gueye,sn SEN,MF,Everton,35-210,1989,29.1,8,0,0,48,39,0,6,40,70,0,0,0,170,22,15,59.5,Matches
192,Andrés García,es ESP,"DF,MF",Aston Villa,22-076,2003,3.5,0,0,0,1,0,0,18,2,5,0,0,0,15,0,6,0.0,Matches
193,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-297,2004,21.8,2,0,0,10,38,9,47,11,18,0,0,0,102,3,23,11.5,Matches
194,James Garner,eng ENG,"MF,DF",Everton,24-042,2001,12.7,3,0,0,16,12,0,48,16,22,0,0,0,58,10,8,55.6,Matches
195,Tyrique George,eng ENG,FW,Chelsea,19-079,2006,1.1,1,0,0,2,0,1,3,1,0,0,0,0,2,0,3,0.0,Matches
196,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-087,2000,26.4,9,1,1,32,35,7,36,17,18,1,0,0,113,36,46,43.9,Matches
197,Billy Gilmour,sct SCO,MF,Brighton,23-317,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,,Matches
198,Ben Godfrey,eng ENG,DF,Ipswich Town,27-099,1998,1.2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,100.0,Matches
199,Martial Godo,eng ENG,FW,Fulham,22-041,2003,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,Matches
200,João Gomes,br BRA,MF,Wolves,24-071,2001,28.9,10,1,1,64,36,1,26,25,56,0,0,0,168,9,23,28.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
201,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-291,2003,7.0,0,0,0,2,5,0,19,5,12,0,0,0,24,6,15,28.6,Matches
202,Toti Gomes,pt POR,DF,Wolves,26-098,1999,24.0,5,0,0,21,13,4,12,22,36,0,1,0,89,41,21,66.1,Matches
203,Diego Gómez,py PAR,MF,Brighton,22-028,2003,4.8,0,0,0,7,2,1,9,7,10,0,0,0,29,7,3,70.0,Matches
204,Joe Gomez,eng ENG,DF,Liverpool,27-336,1997,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
205,Nicolás González,es ESP,MF,Manchester City,23-111,2002,7.2,3,0,0,11,4,0,0,4,6,0,0,0,31,15,11,57.7,Matches
206,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-059,2001,24.2,2,0,0,19,62,7,119,6,17,1,0,0,91,5,7,41.7,Matches
207,Ryan Gravenberch,nl NED,MF,Liverpool,22-343,2002,31.5,5,0,0,40,46,0,6,56,32,0,0,0,174,25,13,65.8,Matches
208,Archie Gray,eng ENG,"DF,MF",Tottenham,19-043,2006,15.0,0,0,0,9,11,0,12,10,6,0,0,1,56,9,8,52.9,Matches
209,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-226,1995,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5,Matches
210,Jacob Greaves,eng ENG,DF,Ipswich Town,24-224,2000,19.5,4,0,0,9,16,1,0,18,13,0,0,0,43,54,38,58.7,Matches
211,Brajan Gruda,de GER,"FW,MF",Brighton,20-328,2004,5.5,0,0,0,6,9,1,17,2,5,0,0,0,18,3,4,42.9,Matches
212,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-336,2001,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0,Matches
213,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-146,1996,8.6,1,0,0,14,15,3,16,5,4,0,0,0,34,3,10,23.1,Matches
214,Marc Guéhi,eng ENG,DF,Crystal Palace,24-285,2000,32.0,9,1,1,22,26,1,13,25,31,0,0,3,135,66,50,56.9,Matches
215,Luis Guilherme,br BRA,"MF,FW",West Ham,19-074,2006,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7,Matches
216,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-159,1997,31.4,6,0,0,53,98,2,21,27,41,0,0,0,156,16,15,51.6,Matches
217,Marc Guiu,es ESP,FW,Chelsea,19-110,2006,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
218,İlkay Gündoğan,de GER,MF,Manchester City,34-182,1990,21.9,1,0,0,14,21,0,57,13,13,0,0,0,104,13,11,54.2,Matches
219,Malo Gusto,fr FRA,DF,Chelsea,21-340,2003,20.2,4,0,0,20,18,2,51,23,28,0,0,0,114,8,15,34.8,Matches
220,Joško Gvardiol,hr CRO,DF,Manchester City,23-091,2002,32.4,2,0,0,13,21,2,19,36,34,0,0,0,130,48,33,59.3,Matches
221,Erling Haaland,no NOR,FW,Manchester City,24-277,2000,27.6,2,0,0,22,12,4,3,5,5,0,0,0,29,49,45,52.1,Matches
222,Lewis Hall,eng ENG,DF,Newcastle Utd,20-228,2004,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2,Matches
223,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-054,2002,1.5,3,0,0,8,3,1,0,0,0,0,0,0,4,5,9,35.7,Matches
224,Marcus Harness,eng ENG,MF,Ipswich Town,29-059,1996,0.5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,,Matches
225,Jack Harrison,eng ENG,FW,Everton,28-155,1996,20.3,0,0,0,13,25,4,112,8,21,1,0,0,63,4,26,13.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
226,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-084,2002,27.5,8,0,0,31,12,0,9,30,19,0,0,0,114,50,35,58.8,Matches
227,Kai Havertz,de GER,"FW,MF",Arsenal,25-317,1999,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Matches
228,Ayden Heaven,eng ENG,DF,Manchester Utd,18-214,2006,1.1,0,0,0,2,3,0,0,1,3,0,0,0,4,1,2,33.3,Matches
229,Jan Paul van Hecke,nl NED,DF,Brighton,24-320,2000,28.9,8,1,1,22,22,0,11,23,25,0,0,0,119,73,48,60.3,Matches
230,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-088,1996,7.2,0,0,0,6,8,0,8,2,4,0,0,0,27,3,9,25.0,Matches
231,Dean Henderson,eng ENG,GK,Crystal Palace,28-043,1997,34.0,3,0,0,0,0,0,0,0,1,0,0,0,26,11,1,91.7,Matches
232,Rico Henry,eng ENG,DF,Brentford,27-290,1997,0.2,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,50.0,Matches
233,Mads Hermansen,dk DEN,GK,Leicester City,24-287,2000,25.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,Matches
234,Son Heung-min,kr KOR,FW,Tottenham,32-290,1992,22.3,1,0,0,5,28,11,75,5,9,1,0,0,81,6,11,35.3,Matches
235,James Hill,eng ENG,DF,Bournemouth,23-104,2002,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,Matches
236,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-013,2005,17.7,4,0,0,14,5,0,26,14,18,0,0,0,51,19,13,59.4,Matches
237,George Hirst,sct SCO,FW,Ipswich Town,26-068,1999,5.0,1,0,0,11,9,2,3,2,2,0,0,0,8,29,16,64.4,Matches
238,Mason Holgate,eng ENG,"FW,DF",Everton,28-184,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
239,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-168,2000,23.4,2,0,0,12,21,8,74,13,14,1,0,0,90,3,10,23.1,Matches
240,Will Hughes,eng ENG,MF,Crystal Palace,30-007,1995,20.8,11,0,0,60,30,0,65,19,33,0,1,0,107,17,17,50.0,Matches
241,Dean Huijsen,es ESP,DF,Bournemouth,20-010,2005,22.8,7,0,0,26,9,2,12,49,23,0,0,0,91,61,41,59.8,Matches
242,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-176,2003,24.7,5,0,0,28,36,4,56,10,11,0,0,0,90,6,22,21.4,Matches
243,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-079,2003,18.4,2,0,0,15,25,10,6,1,1,1,0,0,28,21,79,21.0,Matches
244,Igor,br BRA,DF,Brighton,27-076,1998,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1,Matches
245,Danny Ings,eng ENG,"FW,MF",West Ham,32-275,1992,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches
246,Tim Iroegbunam,eng ENG,MF,Everton,21-298,2003,6.3,4,0,0,15,11,0,1,15,13,0,0,0,47,9,4,69.2,Matches
247,Andy Irving,sct SCO,MF,West Ham,24-346,2000,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0,Matches
248,Alexander Isak,se SWE,FW,Newcastle Utd,25-215,1999,26.8,1,0,0,24,12,20,15,3,5,1,0,0,52,25,47,34.7,Matches
249,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-356,1996,29.3,1,0,0,16,16,4,109,11,21,0,0,0,122,5,29,14.7,Matches
250,Nicolas Jackson,sn SEN,FW,Chelsea,23-308,2001,22.5,7,0,0,29,27,18,3,3,11,0,0,0,43,18,33,35.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
251,Reece James,eng ENG,"DF,MF",Chelsea,25-137,1999,9.0,1,0,0,6,9,0,38,12,8,0,0,0,53,21,6,77.8,Matches
252,Vitaly Janelt,de GER,MF,Brentford,26-349,1998,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3,Matches
253,Vitezslav Jaros,cz CZE,GK,Liverpool,23-275,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
254,Daniel Jebbison,eng ENG,FW,Bournemouth,21-254,2003,0.8,1,0,0,2,2,0,1,1,1,0,0,0,7,2,9,18.2,Matches
255,Mathias Jensen,dk DEN,MF,Brentford,29-113,1996,8.6,2,0,0,7,10,0,31,7,8,0,0,0,44,8,5,61.5,Matches
256,Gabriel Jesus,br BRA,FW,Arsenal,28-021,1997,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3,Matches
257,Raúl Jiménez,mx MEX,FW,Fulham,33-354,1991,22.7,3,0,0,33,35,13,19,9,18,1,0,0,67,66,81,44.9,Matches
258,Kim Jisoo,kr KOR,DF,Brentford,20-121,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
259,João Pedro,br BRA,"FW,MF",Brighton,23-210,2001,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8,Matches
260,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-253,1996,26.6,10,0,0,58,35,7,16,23,35,0,0,0,149,59,46,56.2,Matches
261,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-090,2000,14.6,3,0,0,25,6,1,36,13,22,0,0,0,55,19,18,51.4,Matches
262,Brennan Johnson,wls WAL,FW,Tottenham,23-336,2001,22.1,5,0,0,25,24,9,51,4,26,2,0,0,58,7,20,25.9,Matches
263,Sam Johnstone,eng ENG,GK,Wolves,32-030,1993,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,Matches
264,Curtis Jones,eng ENG,"MF,DF",Liverpool,24-084,2001,15.7,3,1,1,15,21,1,6,5,17,1,0,0,75,13,12,52.0,Matches
265,Jorginho,it ITA,MF,Arsenal,33-125,1991,7.8,5,0,0,15,17,0,1,7,4,0,0,0,54,1,6,14.3,Matches
266,Diogo Jota,pt POR,FW,Liverpool,28-141,1996,11.9,2,0,0,18,12,1,8,6,7,1,0,0,38,21,28,42.9,Matches
267,James Justin,eng ENG,DF,Leicester City,27-060,1998,28.2,5,0,0,20,34,2,53,42,29,0,0,0,75,57,46,55.3,Matches
268,Filip Jørgensen,dk DEN,GK,Chelsea,23-008,2002,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,Matches
269,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-199,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0,Matches
270,Daichi Kamada,jp JPN,MF,Crystal Palace,28-262,1996,14.9,3,1,0,25,17,2,27,16,25,0,0,0,67,3,12,20.0,Matches
271,Boubacar Kamara,fr FRA,MF,Aston Villa,25-152,1999,15.3,2,0,0,23,26,0,1,16,19,0,0,0,67,16,21,43.2,Matches
272,Michael Kayode,it ITA,DF,Brentford,20-288,2004,1.4,1,0,0,3,1,0,5,1,5,0,0,0,8,1,1,50.0,Matches
273,Michael Keane,eng ENG,DF,Everton,32-103,1993,9.5,5,0,0,9,0,0,1,10,7,0,0,0,24,20,14,58.8,Matches
274,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-152,1998,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Matches
275,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-200,1998,3.4,2,0,0,5,5,1,1,1,4,0,0,0,19,6,2,75.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
276,Milos Kerkez,hu HUN,DF,Bournemouth,21-168,2003,32.2,4,0,0,27,44,1,115,38,26,0,0,0,148,25,46,35.2,Matches
277,Bilal El Khannouss,ma MAR,MF,Leicester City,20-349,2004,20.4,4,0,0,27,9,0,74,6,25,0,0,0,81,19,18,51.4,Matches
278,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-054,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Matches
279,Max Kilman,eng ENG,DF,West Ham,27-336,1997,32.2,4,0,0,17,12,2,2,36,17,0,0,0,132,99,48,67.3,Matches
280,Joshua King,eng ENG,"MF,FW",Fulham,18-111,2007,0.9,0,0,0,2,2,0,1,1,3,0,0,0,3,0,0,,Matches
281,Antonín Kinský,cz CZE,GK,Tottenham,22-042,2003,4.0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,100.0,Matches
282,Jakub Kiwior,pl POL,DF,Arsenal,25-068,2000,8.5,0,0,0,8,3,0,1,2,6,0,0,0,18,8,7,53.3,Matches
283,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-354,1999,22.5,7,0,0,39,27,5,76,13,9,1,0,0,68,7,23,23.3,Matches
