,,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of Tkl,Mean of Tkl,Std of Tkl,Median of Int,Mean of Int,Std of Int,Median of Cmp%,Mean of Cmp%,Std of Cmp%
0,all,1.0,1.9488752556237219,3.414566758812977,1.0,1.4396728016359919,2.1617342516343356,0.8,1.9754601226993864,2.9986627899127574,0.8,1.4599182004089981,1.8148151673533508,17.0,23.969325153374232,21.88534485496397,7.0,10.930470347648262,11.466597605173712,80.1,79.26850715746421,8.2585195714944
1,Southampton,0.0,0.7931034482758621,1.0816426114554918,0.0,0.4827586206896552,0.8289705171033531,0.4,1.0241379310344827,1.3694772653445424,0.5,0.7724137931034484,0.8688648389562005,13.0,19.689655172413794,18.520458665015873,5.0,9.241379310344827,11.867287487681038,80.2,81.10000000000001,7.907500959757857
2,West Ham,0.0,1.36,2.3252240035460385,1.0,0.84,1.1430952132988166,1.0,1.692,2.1025619293297084,1.1,1.18,1.2315302134607444,17.0,22.16,19.507861663100513,8.0,11.68,14.132468527000748,79.7,78.524,7.7540999907575765
3,Everton,1.0,1.4090909090909092,1.9678146183760226,1.0,0.9090909090909091,1.1087999050492516,0.95,1.6500000000000001,1.9466087727855628,0.9500000000000001,1.2681818181818185,1.1132904312961576,23.0,29.272727272727273,27.54421867986062,9.5,13.227272727272727,12.52020012840894,73.19999999999999,73.99545454545454,7.81777445329535
4,Manchester City,1.0,2.6,4.406434688800762,0.0,1.88,2.5053276565484737,1.2,2.4960000000000004,4.170079935285014,1.5,1.9920000000000002,2.2165889710694375,15.0,17.68,16.074617673006514,5.0,7.96,8.25873275186131,87.7,86.54800000000002,6.864347504800924
5,Leicester City,0.0,1.0384615384615385,1.799572598830494,0.0,0.8076923076923077,1.132050556087696,0.35,1.0807692307692307,1.942373647014236,0.4,0.8576923076923079,1.0488748550415639,21.5,24.53846153846154,21.46295556391201,8.5,11.038461538461538,11.549825173502045,77.55,77.81923076923077,8.36483205955836
6,Bournemouth,1.0,2.217391304347826,3.4106320627112034,1.0,1.608695652173913,2.0167284586402126,1.0,2.617391304347826,3.470217726194378,1.1,1.7565217391304346,1.8300089634545815,21.0,27.08695652173913,22.797354398897536,8.0,13.521739130434783,15.069142357261054,74.1,73.92608695652174,6.721486401581149
7,Crystal Palace,0.0,1.8571428571428572,3.3657943235693155,1.0,1.5238095238095237,2.088517359732679,1.0,2.4380952380952383,3.318655780655202,1.2,1.880952380952381,2.105141099218541,21.0,32.61904761904762,29.119540158588,11.0,13.571428571428571,13.898098533869407,75.6,74.21428571428571,6.9385362803898145
8,Brighton,1.0,1.8214285714285714,2.8810179711804214,1.0,1.1785714285714286,1.540888907202146,0.6,1.8321428571428573,2.5868690601558355,0.75,1.2571428571428576,1.3966702655558436,16.0,21.25,18.420248520461268,8.5,9.857142857142858,9.419107002236291,80.55,79.45,8.189130103487907
9,Fulham,0.5,2.1363636363636362,3.196656803382984,1.0,1.8181818181818181,2.4228350893384945,0.95,1.9636363636363638,2.5419425370121687,0.75,1.5,1.771466973470078,23.0,26.363636363636363,21.79677882393559,8.5,12.363636363636363,13.520867309971385,81.55,80.23636363636363,7.892826487178718
10,Manchester Utd,0.0,1.3846153846153846,2.192294196989502,0.0,0.9230769230769231,2.0961503175693657,0.9,1.696153846153846,2.2532608848920748,0.5,1.2384615384615383,1.5945098113406322,20.0,27.46153846153846,27.577136572502624,7.0,12.653846153846153,12.862168736857118,82.1,82.64615384615385,5.946644820012762
11,Ipswich Town,0.0,1.0666666666666667,2.2884015402012388,0.0,0.8,1.0635010497214474,0.6,1.0333333333333334,1.7044229144388923,0.4,0.7,0.9580871747825239,12.0,17.366666666666667,15.78188252687093,6.0,9.5,9.416603092044575,75.2,75.08666666666664,8.39321291213953
12,Newcastle Utd,0.0,2.727272727272727,4.958703922270879,1.0,2.090909090909091,2.8769873612958876,0.55,2.527272727272728,4.055587775870744,0.75,1.8409090909090908,2.230664878655196,23.0,24.318181818181817,20.961157646230557,6.0,11.0,11.567606658662102,81.7,80.25454545454546,5.8413735560778015
13,Liverpool,1.0,3.5714285714285716,6.209439818304294,2.0,2.6666666666666665,3.928528138289623,1.6,3.5238095238095237,5.410259213929104,1.2,2.5380952380952384,2.95084330157943,24.0,27.142857142857142,22.77780874949501,7.0,12.619047619047619,15.622023526023092,83.7,82.77142857142857,7.6010619558810895
14,Aston Villa,1.0,1.8571428571428572,3.285369202030541,0.0,1.4642857142857142,2.364586611073877,0.8,1.9142857142857144,2.936073755975674,0.45,1.4035714285714287,1.9488804274852063,10.5,20.964285714285715,20.08404958216962,5.0,7.964285714285714,8.284220354282402,82.1,81.22142857142856,7.16247200978861
15,Wolves,1.0,2.0434782608695654,3.6739656660637188,1.0,1.565217391304348,1.9731397903876622,0.8,1.6695652173913043,2.30640112860012,0.9,1.3217391304347827,1.6838690625351027,19.0,29.91304347826087,25.912287438900595,9.0,11.695652173913043,9.368393587962256,80.4,77.48695652173913,8.996883518390035
16,Nott'ham Forest,1.0,2.3636363636363638,4.169566090767885,1.0,1.7272727272727273,2.4723580065504493,1.2999999999999998,1.8454545454545455,2.4839920390807313,1.1,1.3454545454545455,1.3803820288074407,20.5,27.772727272727273,24.89010478116386,11.0,12.681818181818182,10.620673297804679,76.5,73.65454545454544,8.494408652459471
17,Tottenham,0.0,2.1481481481481484,3.207007995764944,1.0,1.6296296296296295,2.322931638256149,0.7,2.0592592592592593,2.8952559683915897,0.9,1.5407407407407405,2.0130839829741634,13.0,21.88888888888889,20.239590550231636,10.0,10.148148148148149,10.505323572447606,84.8,81.26666666666667,8.382903847896438
18,Chelsea,1.0,2.1538461538461537,3.390484421935104,1.0,1.6538461538461537,2.115510485765697,0.7,2.4076923076923076,3.936284855233226,1.05,1.8538461538461537,2.284772333381297,11.0,19.115384615384617,22.38093281894555,7.0,9.115384615384615,10.401257320447073,84.75,84.1730769230769,6.48392212737369
19,Arsenal,2.0,2.772727272727273,2.8103858095052354,1.5,2.272727272727273,2.6758499883538236,1.65,2.4999999999999996,2.5810665938531616,0.8500000000000001,1.8772727272727272,2.1206314913435387,19.0,24.09090909090909,20.3280455831208,6.0,9.272727272727273,8.647497949072944,82.8,82.35000000000001,6.298960609648609
20,Brentford,0.0,2.6666666666666665,5.11207720338155,1.0,1.7619047619047619,2.447544931247676,0.8,2.419047619047619,3.832834336051983,1.2,1.7380952380952381,2.198971621116605,24.0,25.952380952380953,21.287264245262218,8.0,12.238095238095237,11.911778884384825,77.2,76.54285714285713,7.969226526368253
